label,endpoints,median_mrps
copyrpc (QD=1),1,0.2214796040795321
copyrpc (QD=1),2,0.43143683775448044
copyrpc (QD=1),4,0.8667973276064981
copyrpc (QD=1),8,1.6547232225500068
copyrpc (QD=1),16,1.6467757353600447
copyrpc (QD=1),32,1.7223717882860117
copyrpc (QD=1),64,1.726878387124152
copyrpc (QD=256),1,14.743582786732494
copyrpc (QD=256),2,20.562755423644305
copyrpc (QD=256),4,21.83192486044307
copyrpc (QD=256),8,25.260902182650486
copyrpc (QD=256),16,31.21281807605123
copyrpc (QD=256),32,37.55011849974893
copyrpc (QD=256),64,33.50100508904218
